decision_season,fg_id,buy_season,keeper_salary,years_control_left,kept,rp_prior,PA_prior,IP_prior,SV_prior,role,pos_group,birth_year,played_prior,age,is_pit
2026,28163,2025,11,2,1,9.6600624591485,653.0,0.0,0.0,HIT,CI,2003.0,1,23.0,0
2026,14344,2025,27,2,0,8.277418202926823,724.0,0.0,0.0,HIT,UNKNOWN,1994.0,1,32.0,0
2026,22543,2025,9,2,0,-0.3459136833352092,0.0,142.66666666666663,0.0,PIT,UNKNOWN,2001.0,1,25.0,1
2026,20503,2025,16,2,0,6.447624311138829,659.0,0.0,0.0,HIT,UNKNOWN,1997.0,1,29.0,0
2026,17432,2025,10,2,0,8.479490260634055,0.0,68.0,33.0,PIT,UNKNOWN,1993.0,1,33.0,1
2026,21029,2025,4,2,1,10.924026254344861,0.0,70.0,32.0,PIT,RP,1998.0,1,28.0,1
2026,10310,2025,29,2,0,11.394614617593481,0.0,149.66666666666663,0.0,PIT,UNKNOWN,1990.0,1,36.0,1
2026,17479,2025,10,2,0,2.258996140166007,0.0,161.0,0.0,PIT,UNKNOWN,1995.0,1,31.0,1
2026,17995,2025,22,2,0,9.34941907792737,0.0,207.0,0.0,PIT,UNKNOWN,1996.0,1,30.0,1
2026,20043,2025,18,2,0,5.16185030385031,431.0,0.0,0.0,HIT,UNKNOWN,1997.0,1,29.0,0
2026,16478,2025,20,2,1,10.89573263853221,724.0,0.0,0.0,HIT,UTIL,1993.0,1,33.0,0
2026,19556,2025,31,2,1,1.9084572925157304,199.0,0.0,0.0,HIT,UTIL,1997.0,1,29.0,0
2026,15986,2025,17,2,0,6.943245510323485,686.0,0.0,0.0,HIT,UNKNOWN,1995.0,1,31.0,0
2026,31347,2025,1,2,1,7.51829301544641,554.0,0.0,0.0,HIT,MI,2001.0,1,25.0,0
2026,16505,2025,9,2,0,5.301737039910891,535.0,0.0,0.0,HIT,UNKNOWN,1993.0,1,33.0,0
2026,27769,2025,17,2,1,9.27857646682498,647.0,0.0,0.0,HIT,OF,2002.0,1,24.0,0
2026,12927,2025,9,2,0,7.725787634627093,652.0,0.0,0.0,HIT,UNKNOWN,1993.0,1,33.0,0
2026,18568,2025,11,2,1,6.0802739670168755,675.0,0.0,0.0,HIT,CI,1997.0,1,29.0,0
2026,23697,2025,34,2,0,10.11703082649724,710.0,0.0,0.0,HIT,UNKNOWN,2000.0,1,26.0,0
2026,19611,2025,35,2,1,8.386747926692403,680.0,0.0,0.0,HIT,CI,1999.0,1,27.0,0
